data,cdi_dia_pct,fator,cdi_acumulado
2011-01-03,0.040132,1.00040132,1.00040132
2011-01-04,0.040132,1.00040132,1.0008028010577423
2011-01-05,0.040132,1.00040132,1.0012044432378628
2011-01-06,0.040132,1.00040132,1.001606246605023
2011-01-07,0.040132,1.00040132,1.0020082112239106
2011-01-10,0.040132,1.00040132,1.002410337159239
2011-01-11,0.040132,1.00040132,1.0028126244757476
2011-01-12,0.040132,1.00040132,1.0032150732382021
2011-01-13,0.040132,1.00040132,1.003617683511394
2011-01-14,0.040132,1.00040132,1.0040204553601406
2011-01-17,0.040132,1.00040132,1.0044233888492857
2011-01-18,0.040132,1.00040132,1.0048264840436987
2011-01-19,0.040132,1.00040132,1.0052297410082751
2011-01-20,0.041922,1.00041922,1.0056511534203005
2011-01-21,0.041922,1.00041922,1.0060727424968374
2011-01-24,0.041922,1.00041922,1.006494508311947
2011-01-25,0.041922,1.00041922,1.0069164509397215
2011-01-26,0.041922,1.00041922,1.0073385704542843
2011-01-27,0.041922,1.00041922,1.0077608669297902
2011-01-28,0.041922,1.00041922,1.0081833404404243
2011-01-31,0.041922,1.00041922,1.0086059910604037
2011-02-01,0.041922,1.00041922,1.009028818863976
2011-02-02,0.041922,1.00041922,1.00945182392542
2011-02-03,0.041922,1.00041922,1.009875006319046
2011-02-04,0.041922,1.00041922,1.010298366119195
2011-02-07,0.041922,1.00041922,1.0107219034002395
2011-02-08,0.041922,1.00041922,1.0111456182365828
2011-02-09,0.041922,1.00041922,1.0115695107026599
2011-02-10,0.041957,1.00041957,1.0119939349222655
2011-02-11,0.041922,1.00041922,1.0124181830196637
2011-02-14,0.041957,1.00041957,1.0128429633167133
2011-02-15,0.041957,1.00041957,1.013267921838832
2011-02-16,0.041957,1.00041957,1.013693058660798
2011-02-17,0.041957,1.00041957,1.0141183738574202
2011-02-18,0.041993,1.00041993,1.0145442325861542
2011-02-21,0.041993,1.00041993,1.0149702701457441
2011-02-22,0.041993,1.00041993,1.0153964866112866
2011-02-23,0.041993,1.00041993,1.0158228820579094
2011-02-24,0.041993,1.00041993,1.016249456560772
2011-02-25,0.041993,1.00041993,1.0166762101950657
2011-02-28,0.041957,1.00041957,1.0171027770325773
