codigo,empresa,tipo,participacao,qtd_teorica,indice
SAUD3,BRADSAUDE,ON      NM,0.136,251735971.0,IBXX
BBAS3,BRASIL,ON      NM,2.226,2842496541.0,IBXX
BRKM5,BRASKEM,PNA     N1,0.058,265709734.0,IBXX
BRAV3,BRAVA,ON      NM,0.251,346772300.0,IBXX
BPAC11,BTGP BANCO,UNT     N2,2.525,1194624560.0,IBXX
CXSE3,CAIXA SEGURI,ON  ED  NM,0.434,600000000.0,IBXX
CBAV3,CBA,ON      NM,0.085,204441277.0,IBXX
CEAB3,CEA MODAS,ON      NM,0.071,204964309.0,IBXX
CMIG4,CEMIG,PN      N1,0.797,1904057894.0,IBXX
COGN3,COGNA ON,ON  ATZ NM,0.158,1915914094.0,IBXX
CSMG3,COPASA,ON      NM,0.853,359581776.0,IBXX
CPLE3,COPEL,ON      NM,1.642,2969406694.0,IBXX
CSAN3,COSAN,ON      NM,0.326,2242671999.0,IBXX
CPFE3,CPFL ENERGIA,ON      NM,0.322,187732538.0,IBXX
CMIN3,CSNMINERACAO,ON      N2,0.361,1646519336.0,IBXX
CURY3,CURY S/A,ON      NM,0.192,160988231.0,IBXX
CVCB3,CVC BRASIL,ON      NM,0.024,408009727.0,IBXX
CYRE3,CYRELA REALT,ON      NM,0.227,281609283.0,IBXX
DIRR3,DIRECIONAL,ON      NM,0.144,327091595.0,IBXX
ECOR3,ECORODOVIAS,ON      NM,0.088,328954615.0,IBXX
EMBJ3,EMBRAER,ON      NM,2.463,711833141.0,IBXX
ENGI11,ENERGISA,UNT     N2,0.608,325503046.0,IBXX
ENEV3,ENEVA,ON      NM,1.921,1913352180.0,IBXX
EGIE3,ENGIE BRASIL,ON      NM,0.492,443065303.0,IBXX
EQTL3,EQUATORIAL,ON      NM,1.819,1247728993.0,IBXX
EZTC3,EZTEC,ON      NM,0.051,121216090.0,IBXX
FLRY3,FLEURY,ON      NM,0.289,447150822.0,IBXX
GGBR4,GERDAU,PN      N1,1.232,1258208269.0,IBXX
GOAU4,GERDAU MET,PN      N1,0.356,830837767.0,IBXX
GGPS3,GPS,ON      NM,0.137,314841214.0,IBXX
GMAT3,GRUPO MATEUS,ON      NM,0.066,457961064.0,IBXX
HAPV3,HAPVIDA,ON      NM,0.112,271662290.0,IBXX
HYPE3,HYPERA,ON      NM,0.256,321083946.0,IBXX
IGTI11,IGUATEMI S.A,UNT     N1,0.191,205800982.0,IBXX
INTB3,INTELBRAS,ON  ED  NM,0.065,113898409.0,IBXX
IRBR3,IRBBRASIL RE,ON      NM,0.164,81534304.0,IBXX
ISAE4,ISA ENERGIA,PN      N1,0.457,460013216.0,IBXX
ITSA4,ITAUSA,PN      N1,3.05,5970738360.0,IBXX
ITUB3,ITAUUNIBANCO,ON  EJ  N1,0.768,456130473.0,IBXX
ITUB4,ITAUUNIBANCO,PN  EJ  N1,8.436,5349695485.0,IBXX
JHSF3,JHSF PART,ON  ED  NM,0.105,260721097.0,IBXX
KLBN11,KLABIN S/A,UNT     N2,0.558,804572623.0,IBXX
RENT3,LOCALIZA,ON      NM,1.427,978479038.0,IBXX
LREN3,LOJAS RENNER,ON      NM,0.5,982593716.0,IBXX
MGLU3,MAGAZ LUIZA,ON      NM,0.067,373155063.0,IBXX
POMO4,MARCOPOLO,PN      N2,0.126,728266241.0,IBXX
MBRF3,MARFRIG,ON  ATZ NM,0.475,761175338.0,IBXX
BEEF3,MINERVA,ON      NM,0.061,454804863.0,IBXX
MOTV3,MOTIVA SA,ON      NM,0.558,1002196725.0,IBXX
MDNE3,MOURA DUBEUX,ON      NM,0.058,62112530.0,IBXX
MOVI3,MOVIDA,ON  ES  NM,0.049,165088193.0,IBXX
MRVE3,MRV,ON      NM,0.066,374681353.0,IBXX
MULT3,MULTIPLAN,ON      N2,0.342,320022221.0,IBXX
NATU3,NATURA,ON      NM,0.258,838359453.0,IBXX
ORVR3,ORIZON,ON      NM,0.145,54399873.0,IBXX
PETR3,PETROBRAS,ON      N2,6.102,3478483761.0,IBXX
PETR4,PETROBRAS,PN      N2,6.881,4410960450.0,IBXX
RECV3,PETRORECSA,ON      NM,0.103,274624898.0,IBXX
AUAU3,PETZCOBASI,ON      NM,0.028,205617553.0,IBXX
PSSA3,PORTO SEGURO,ON      NM,0.356,178825403.0,IBXX
PRIO3,PRIO,ON      NM,1.668,757265605.0,IBXX
RADL3,RAIADROGASIL,ON      NM,1.005,1313915830.0,IBXX
RAPT4,RANDON PART,PN      N1,0.033,176793154.0,IBXX
RDOR3,REDE D OR,ON      NM,1.399,1091469308.0,IBXX
RAIL3,RUMO S.A.,ON      NM,0.636,1221155293.0,IBXX
SBSP3,SABESP,ON      NM,3.615,3506733260.0,IBXX
SAPR11,SANEPAR,UNT     N2,0.26,201077478.0,IBXX
SANB11,SANTANDER BR,UNT,0.396,360347199.0,IBXX
SMTO3,SAO MARTINHO,ON      NM,0.066,123583436.0,IBXX
CSNA3,SID NACIONAL,ON,0.132,727975012.0,IBXX
SIMH3,SIMPAR,ON      NM,0.039,135653148.0,IBXX
