codigo,empresa,tipo,participacao,qtd_teorica,indice
POMO4,MARCOPOLO,PN      N2,1.026,728266241.0,SMLL
CASH3,MELIUZ,ON      NM,0.129,93078828.0,SMLL
LEVE3,METAL LEVE,ON      NM,0.518,52865876.0,SMLL
MILS3,MILLS,ON      NM,0.513,108722880.0,SMLL
BEEF3,MINERVA,ON      NM,0.497,454804863.0,SMLL
MDNE3,MOURA DUBEUX,ON      NM,0.471,62112530.0,SMLL
MOVI3,MOVIDA,ON  ES  NM,0.397,165088193.0,SMLL
MRVE3,MRV,ON      NM,0.534,374681353.0,SMLL
MULT3,MULTIPLAN,ON      N2,2.778,320022221.0,SMLL
NATU3,NATURA,ON      NM,2.104,838359453.0,SMLL
ORVR3,ORIZON,ON      NM,1.177,54399873.0,SMLL
PGMN3,PAGUE MENOS,ON      NM,0.323,303890693.0,SMLL
RECV3,PETRORECSA,ON      NM,0.84,274624898.0,SMLL
AUAU3,PETZCOBASI,ON      NM,0.225,205617553.0,SMLL
PLPL3,PLANOEPLANO,ON      NM,0.121,54395641.0,SMLL
POSI3,POSITIVO TEC,ON      NM,0.075,72078995.0,SMLL
PRNR3,PRINER,ON      NM,0.32,55925047.0,SMLL
QUAL3,QUALICORP,ON      NM,0.134,279655194.0,SMLL
LJQQ3,QUERO-QUERO,ON      NM,0.076,195194199.0,SMLL
RAPT4,RANDON PART,PN      N1,0.271,176793154.0,SMLL
RCSL4,RECRUSUL,PN,0.018,74949368.0,SMLL
RIAA3,RIACHUELO,ON      NM,0.199,84545496.0,SMLL
SAPR11,SANEPAR,UNT     N2,2.117,201077478.0,SMLL
SMTO3,SAO MARTINHO,ON      NM,0.534,123583436.0,SMLL
SEER3,SER EDUCA,ON      NM,0.186,50527159.0,SMLL
CSNA3,SID NACIONAL,ON,1.077,727975012.0,SMLL
SIMH3,SIMPAR,ON      NM,0.314,135653148.0,SMLL
SLCE3,SLC AGRICOLA,ON      NM,0.9,220403658.0,SMLL
SMFT3,SMART FIT,ON      NM,3.357,556651316.0,SMLL
SYNE3,SYN PROP TEC,ON      NM,0.073,59381237.0,SMLL
TAEE11,TAESA,UNT     N2,2.648,218568234.0,SMLL
TGMA3,TEGMA,ON      NM,0.325,31994720.0,SMLL
TEND3,TENDA,ON      NM,1.161,114768786.0,SMLL
TOTS3,TOTVS,ON      NM,5.25,533997411.0,SMLL
TFCO4,TRACK FIELD,PN      N2,0.224,49474393.0,SMLL
TUPY3,TUPY,ON      NM,0.613,130913780.0,SMLL
UNIP6,UNIPAR,PNB,0.95,49483367.0,SMLL
USIM5,USIMINAS,PNA     N1,1.169,518256757.0,SMLL
VLID3,VALID,ON      NM,0.42,75830365.0,SMLL
VAMO3,VAMOS,ON      NM,0.45,448052066.0,SMLL
VTRU3,VITRUEDUCA,ON      NM,0.549,140102964.0,SMLL
VIVA3,VIVARA S.A.,ON      NM,0.834,123698325.0,SMLL
VULC3,VULCABRAS,ON      NM,0.467,110618680.0,SMLL
YDUQ3,YDUQS PART,ON      NM,0.655,261365845.0,SMLL
TTEN3,3TENTOS,ON      NM,0.059,226132772.0,IGCX
ABCB4,ABC BRASIL,PN      N2,0.063,118404834.0,IGCX
AERI3,AERIS,ON      NM,0.003,58017090.0,IGCX
ALLD3,ALLIED,ON      NM,0.01,93548392.0,IGCX
ALOS3,ALLOS,ON      NM,0.578,957117430.0,IGCX
ALPA3,ALPARGATAS,ON      N1,0.002,10704358.0,IGCX
ALPA4,ALPARGATAS,PN      N1,0.035,128924117.0,IGCX
ALUP11,ALUPAR,UNT     N2,0.17,236306380.0,IGCX
ANIM3,ANIMA,ON      NM,0.024,513440970.0,IGCX
ARML3,ARMAC,ON      NM,0.027,344172452.0,IGCX
ASAI3,ASSAI,ON      NM,0.52,2677246998.0,IGCX
AURE3,AUREN,ON      NM,0.156,635599850.0,IGCX
AMOB3,AUTOMOB,ON      NM,0.006,21406264.0,IGCX
AXIA3,AXIA ENERGIA,ON      NM,5.094,4313519100.0,IGCX
AZZA3,AZZAS 2154,ON      NM,0.077,219142520.0,IGCX
B3SA3,B3,ON      NM,3.417,9994119632.0,IGCX
BMGB4,BANCO BMG,PN      N1,0.018,146209043.0,IGCX
BRSR3,BANRISUL,ON      N1,0.001,3829176.0,IGCX
BRSR6,BANRISUL,PNB     N1,0.064,202536440.0,IGCX
BBSE3,BBSEGURIDADE,ON      NM,1.129,1232497088.0,IGCX
BMOB3,BEMOBI TECH,ON      NM,0.083,158638620.0,IGCX
BLAU3,BLAU,ON      NM,0.016,77169920.0,IGCX
SOJA3,BOA SAFRA,ON      NM,0.014,117085766.0,IGCX
BRBI11,BR PARTNERS,UNT     N2,0.022,70857085.0,IGCX
BBDC3,BRADESCO,ON  EJS N1,0.536,1548223583.0,IGCX
BBDC4,BRADESCO,PN  EJS N1,2.14,5392761254.0,IGCX
BRAP3,BRADESPAR,ON      N1,0.013,30327123.0,IGCX
BRAP4,BRADESPAR,PN      N1,0.121,250914708.0,IGCX
SAUD3,BRADSAUDE,ON      NM,0.16,503471942.0,IGCX
BBAS3,BRASIL,ON      NM,2.632,5684993082.0,IGCX
AGRO3,BRASILAGRO,ON      NM,0.051,126614516.0,IGCX
BRKM3,BRASKEM,ON      N1,0.001,12907077.0,IGCX
BRKM5,BRASKEM,PNA     N1,0.034,265709734.0,IGCX
BRAV3,BRAVA,ON      NM,0.297,693544600.0,IGCX
BRST3,BRISANET,ON      NM,0.01,165808436.0,IGCX
BPAC11,BTGP BANCO,UNT     N2,2.238,1791936840.0,IGCX
CXSE3,CAIXA SEGURI,ON  ED  NM,0.514,1200000000.0,IGCX
CAML3,CAMIL,ON      NM,0.02,192436848.0,IGCX
BHIA3,CASAS BAHIA,ON      NM,0.005,286842194.0,IGCX
CBAV3,CBA,ON      NM,0.1,408882554.0,IGCX
CEAB3,CEA MODAS,ON      NM,0.084,409928618.0,IGCX
CEDO4,CEDRO,PN      N1,0.001,3737951.0,IGCX
CLSC4,CELESC,PN  EJ  N2,0.11,34220194.0,IGCX
CMIG3,CEMIG,ON      N1,0.169,469061115.0,IGCX
CMIG4,CEMIG,PN      N1,0.471,1904057894.0,IGCX
COGN3,COGNA ON,ON  ATZ NM,0.187,3831828188.0,IGCX
CSMG3,COPASA,ON      NM,1.007,719163552.0,IGCX
CPLE3,COPEL,ON      NM,1.94,5938813388.0,IGCX
CSAN3,COSAN,ON      NM,0.386,4485343998.0,IGCX
CPFE3,CPFL ENERGIA,ON      NM,0.38,375465076.0,IGCX
CSED3,CRUZEIRO EDU,ON      NM,0.01,90351024.0,IGCX
CMIN3,CSNMINERACAO,ON      N2,0.32,2469779004.0,IGCX
CSUD3,CSU DIGITAL,ON      NM,0.012,37239194.0,IGCX
CURY3,CURY S/A,ON      NM,0.227,321976462.0,IGCX
CVCB3,CVC BRASIL,ON      NM,0.028,816019454.0,IGCX
CYRE3,CYRELA REALT,ON      NM,0.268,563218566.0,IGCX
DMVF3,D1000VFARMA,ON      NM,0.005,31855210.0,IGCX
DASA3,DASA,ON      NM,0.022,354249876.0,IGCX
DESK3,DESKTOP,ON      NM,0.028,69671712.0,IGCX
DXCO3,DEXCO,ON      NM,0.075,673684294.0,IGCX
DEXP3,DEXXOS PAR,ON      N1,0.018,114612247.0,IGCX
DEXP4,DEXXOS PAR,PN      N1,0.001,6086842.0,IGCX
PNVL3,DIMED,ON      NM,0.045,164811342.0,IGCX
DIRR3,DIRECIONAL,ON      NM,0.17,654183190.0,IGCX
DOTZ3,DOTZ SA,ON      NM,0.001,8152474.0,IGCX
ECOM3,ECONOMATICA,ON      NM,0.0,20495252.0,IGCX
ECOR3,ECORODOVIAS,ON      NM,0.105,657909230.0,IGCX
EMBJ3,EMBRAER,ON      NM,2.911,1423666282.0,IGCX
ENGI11,ENERGISA,UNT     N2,0.54,488254569.0,IGCX
ENEV3,ENEVA,ON      NM,2.27,3826704360.0,IGCX
EGIE3,ENGIE BRASIL,ON      NM,0.581,886130606.0,IGCX
ENJU3,ENJOEI,ON      NM,0.004,251892848.0,IGCX
EQTL3,EQUATORIAL,ON      NM,2.15,2495457986.0,IGCX
ESPA3,ESPACOLASER,ON      NM,0.008,50013762.0,IGCX
ALPK3,ESTAPAR,ON      NM,0.006,65851336.0,IGCX
ETER3,ETERNIT,ON      NM,0.01,123179528.0,IGCX
EUCA3,EUCATEX,ON      N1,0.0,583249.0,IGCX
EUCA4,EUCATEX,PN      N1,0.026,50586830.0,IGCX
EVEN3,EVEN,ON      NM,0.039,370666768.0,IGCX
EZTC3,EZTEC,ON      NM,0.06,242432180.0,IGCX
FHER3,FER HERINGER,ON      NM,0.001,10795992.0,IGCX
FESA3,FERBASA,ON      N1,0.0,1240216.0,IGCX
FESA4,FERBASA,PN      N1,0.019,147407600.0,IGCX
FLRY3,FLEURY,ON      NM,0.341,894301644.0,IGCX
FRAS3,FRAS-LE,ON      N1,0.046,107111030.0,IGCX
GFSA3,GAFISA,ON      NM,0.003,386847212.0,IGCX
GGBR3,GERDAU,ON      N1,0.007,14410504.0,IGCX
GGBR4,GERDAU,PN      N1,0.728,1258208269.0,IGCX
GOAU3,GERDAU MET,ON      N1,0.028,121268100.0,IGCX
GOAU4,GERDAU MET,PN      N1,0.211,830837767.0,IGCX
GGPS3,GPS,ON      NM,0.162,629682428.0,IGCX
GRND3,GRENDENE,ON      NM,0.037,473734332.0,IGCX
GMAT3,GRUPO MATEUS,ON      NM,0.078,915922128.0,IGCX
SBFG3,GRUPO SBF,ON      NM,0.053,256904704.0,IGCX
HAPV3,HAPVIDA,ON      NM,0.133,543324580.0,IGCX
HBRE3,HBR REALTY,ON      NM,0.005,95336132.0,IGCX
HBOR3,HELBOR,ON      NM,0.005,131190956.0,IGCX
HBSA3,HIDROVIAS,ON      NM,0.075,1087102486.0,IGCX
HYPE3,HYPERA,ON      NM,0.303,642167892.0,IGCX
IGTI11,IGUATEMI S.A,UNT     N1,0.113,205800982.0,IGCX
MEAL3,IMC S/A,ON      NM,0.007,567565680.0,IGCX
INTB3,INTELBRAS,ON  ED  NM,0.076,227796818.0,IGCX
MYPK3,IOCHP-MAXION,ON      NM,0.057,277406486.0,IGCX
RANI3,IRANI,ON      NM,0.037,200873544.0,IGCX
IRBR3,IRBBRASIL RE,ON      NM,0.194,163068608.0,IGCX
ISAE3,ISA ENERGIA,ON      N1,0.019,27080900.0,IGCX
ISAE4,ISA ENERGIA,PN      N1,0.27,460013216.0,IGCX
ITSA3,ITAUSA,ON      N1,0.423,1390174031.0,IGCX
ITSA4,ITAUSA,PN      N1,1.802,5970738360.0,IGCX
ITUB3,ITAUUNIBANCO,ON  EJ  N1,0.454,456130473.0,IGCX
ITUB4,ITAUUNIBANCO,PN  EJ  N1,4.985,5349695485.0,IGCX
JALL3,JALLESMACHAD,ON      NM,0.009,193645380.0,IGCX
JHSF3,JHSF PART,ON  ED  NM,0.124,521442194.0,IGCX
JSLG3,JSL,ON      NM,0.021,168266786.0,IGCX
KEPL3,KEPLER WEBER,ON      NM,0.048,346165394.0,IGCX
KLBN11,KLABIN S/A,UNT     N2,0.495,1206858934.0,IGCX
LAVV3,LAVVI,ON      NM,0.034,148460258.0,IGCX
RENT3,LOCALIZA,ON      NM,1.687,1956958076.0,IGCX
LOGG3,LOG COM PROP,ON      NM,0.058,103066440.0,IGCX
LOGN3,LOG-IN,ON      NM,0.032,52292380.0,IGCX
LREN3,LOJAS RENNER,ON      NM,0.591,1965187432.0,IGCX
LPSB3,LOPES BRASIL,ON      NM,0.007,207621514.0,IGCX
LWSA3,LWSA,ON      NM,0.064,748677694.0,IGCX
MDIA3,M.DIASBRANCO,ON      NM,0.05,129775598.0,IGCX
MGLU3,MAGAZ LUIZA,ON      NM,0.079,746310126.0,IGCX
POMO3,MARCOPOLO,ON      N2,0.029,305738482.0,IGCX
POMO4,MARCOPOLO,PN      N2,0.112,1092399361.0,IGCX
MBRF3,MARFRIG,ON  ATZ NM,0.561,1522350676.0,IGCX
MATD3,MATER DEI,ON      NM,0.013,116308608.0,IGCX
CASH3,MELIUZ,ON      NM,0.019,186157656.0,IGCX
MELK3,MELNICK,ON      NM,0.019,304667114.0,IGCX
BMEB3,MERCANTIL,ON      N1,0.035,31147991.0,IGCX
BMEB4,MERCANTIL,PN      N1,0.034,26808249.0,IGCX
LEVE3,METAL LEVE,ON      NM,0.075,105731752.0,IGCX
MILS3,MILLS,ON      NM,0.075,217445760.0,IGCX
BEEF3,MINERVA,ON      NM,0.072,909609726.0,IGCX
MTRE3,MITRE REALTY,ON      NM,0.008,125335826.0,IGCX
MOTV3,MOTIVA SA,ON      NM,0.66,2004393450.0,IGCX
MDNE3,MOURA DUBEUX,ON      NM,0.069,124225060.0,IGCX
MOVI3,MOVIDA,ON  ES  NM,0.058,330176386.0,IGCX
MRVE3,MRV,ON      NM,0.077,749362706.0,IGCX
MLAS3,MULTILASER,ON      NM,0.03,766997122.0,IGCX
MULT3,MULTIPLAN,ON      N2,0.303,480033331.0,IGCX
NATU3,NATURA,ON      NM,0.306,1676718906.0,IGCX
OPCT3,OCEANPACT,ON      NM,0.063,253601824.0,IGCX
ORVR3,ORIZON,ON      NM,0.171,108799746.0,IGCX
OFSA3,OUROFINO S/A,ON      NM,0.027,46331466.0,IGCX
PDTC3,PADTEC,ON      NM,0.003,71087722.0,IGCX
PGMN3,PAGUE MENOS,ON      NM,0.047,607781386.0,IGCX
PDGR3,PDG REALT,ON      NM,0.0,6574970.0,IGCX
PETR3,PETROBRAS,ON      N2,5.409,5217725641.0,IGCX
PETR4,PETROBRAS,PN      N2,6.1,6616440675.0,IGCX
RECV3,PETRORECSA,ON      NM,0.122,549249796.0,IGCX
AUAU3,PETZCOBASI,ON      NM,0.033,411235106.0,IGCX
PINE3,PINE,ON      N2,0.001,5039391.0,IGCX
PINE4,PINE,PN      N2,0.031,105909882.0,IGCX
PLPL3,PLANOEPLANO,ON      NM,0.018,108791282.0,IGCX
PSSA3,PORTO SEGURO,ON      NM,0.42,357650806.0,IGCX
PTBL3,PORTOBELLO,ON      NM,0.003,89619694.0,IGCX
POSI3,POSITIVO TEC,ON      NM,0.011,144157990.0,IGCX
PRNR3,PRINER,ON      NM,0.047,111850094.0,IGCX
PRIO3,PRIO,ON      NM,1.971,1514531210.0,IGCX
PFRM3,PROFARMA,ON      NM,0.013,80478828.0,IGCX
QUAL3,QUALICORP,ON      NM,0.019,559310388.0,IGCX
LJQQ3,QUERO-QUERO,ON      NM,0.011,390388398.0,IGCX
RADL3,RAIADROGASIL,ON      NM,1.187,2627831660.0,IGCX
RAPT3,RANDON PART,ON      N1,0.003,21322766.0,IGCX
RAPT4,RANDON PART,PN      N1,0.02,176793154.0,IGCX
CCTY3,RDVC CITY,ON      NM,0.0,306928.0,IGCX
RDOR3,REDE D OR,ON      NM,1.653,2182938616.0,IGCX
RNEW3,RENOVA,ON      N2,0.001,34020327.0,IGCX
RNEW4,RENOVA,PN      N2,0.001,38775580.0,IGCX
RIAA3,RIACHUELO,ON      NM,0.029,169090992.0,IGCX
ROMI3,ROMI,ON      NM,0.012,94691474.0,IGCX
RAIL3,RUMO S.A.,ON      NM,0.751,2442310586.0,IGCX
SBSP3,SABESP,ON      NM,4.273,7013466520.0,IGCX
SAPR11,SANEPAR,UNT     N2,0.231,301616217.0,IGCX
SCAR3,SAO CARLOS,ON      NM,0.014,47707296.0,IGCX
SMTO3,SAO MARTINHO,ON      NM,0.078,247166872.0,IGCX
SEER3,SER EDUCA,ON      NM,0.027,101054318.0,IGCX
SIMH3,SIMPAR,ON      NM,0.046,271306296.0,IGCX
SLCE3,SLC AGRICOLA,ON      NM,0.131,440807316.0,IGCX
SMFT3,SMART FIT,ON      NM,0.488,1113302632.0,IGCX
SUZB3,SUZANO S.A.,ON      NM,1.155,1225836942.0,IGCX
SYNE3,SYN PROP TEC,ON      NM,0.01,118762474.0,IGCX
TAEE11,TAESA,UNT     N2,0.289,327852351.0,IGCX
TASA3,TAURUS ARMAS,ON      N2,0.001,12819961.0,IGCX
TASA4,TAURUS ARMAS,PN      N2,0.012,111483385.0,IGCX
TECN3,TECHNOS,ON      NM,0.007,34489234.0,IGCX
TCSA3,TECNISA,ON      NM,0.002,89799436.0,IGCX
TGMA3,TEGMA,ON      NM,0.047,63989440.0,IGCX
TEND3,TENDA,ON      NM,0.169,229537572.0,IGCX
LAND3,TERRASANTAPA,ON      NM,0.021,97992160.0,IGCX
TIMS3,TIM,ON      NM,0.639,1554902160.0,IGCX
TOTS3,TOTVS,ON      NM,0.763,1067994822.0,IGCX
TFCO4,TRACK FIELD,PN      N2,0.024,74211589.0,IGCX
TRIS3,TRISUL,ON      NM,0.017,179337382.0,IGCX
TPIS3,TRIUNFO PART,ON      NM,0.007,37045042.0,IGCX
TUPY3,TUPY,ON      NM,0.089,261827560.0,IGCX
UGPA3,ULTRAPAR,ON      NM,1.522,2135740992.0,IGCX
UCAS3,UNICASA,ON      NM,0.002,57016876.0,IGCX
FIQE3,UNIFIQUE,ON      NM,0.023,199054494.0,IGCX
USIM3,USIMINAS,ON      N1,0.024,167748403.0,IGCX
USIM5,USIMINAS,PNA     N1,0.085,518256757.0,IGCX
VALE3,VALE,ON      NM,14.389,8537293420.0,IGCX
VLID3,VALID,ON      NM,0.061,151660730.0,IGCX
VAMO3,VAMOS,ON      NM,0.066,896104132.0,IGCX
VSTE3,VESTE,ON      NM,0.015,224559120.0,IGCX
VBBR3,VIBRA,ON      NM,1.839,2384009560.0,IGCX
VTRU3,VITRUEDUCA,ON      NM,0.08,280205928.0,IGCX
VITT3,VITTIA,ON      NM,0.007,103431450.0,IGCX
VIVA3,VIVARA S.A.,ON      NM,0.121,247396650.0,IGCX
VVEO3,VIVEO,ON      NM,0.006,385044974.0,IGCX
VULC3,VULCABRAS,ON      NM,0.067,221237360.0,IGCX
WDCN3,WDC NETWORKS,ON      NM,0.003,55308242.0,IGCX
WEGE3,WEG,ON      NM,3.189,2971909464.0,IGCX
WEST3,WESTWING,ON      NM,0.001,22218684.0,IGCX
WIZC3,WIZ CO,ON      NM,0.027,150708864.0,IGCX
YDUQ3,YDUQS PART,ON      NM,0.095,522731690.0,IGCX
