codigo,empresa,indices,origem,motivo_saida,sucessor
FESA4,FERBASA,IBRA|IGCX|SMLL,indice_vigente,,
FHER3,FER HERINGER,IGCX,indice_vigente,,
FIQE3,UNIFIQUE,IGCX,indice_vigente,,
FLRY3,FLEURY,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,
FRAS3,FRAS-LE,IBRA|IGCX|SMLL,indice_vigente,,
GFSA3,GAFISA,IBRA|IGCX|SMLL,indice_vigente,,
GGBR3,GERDAU,IGCX,indice_vigente,,
GGBR4,GERDAU,IBOV|IBRA|IBXX|IGCX,indice_vigente,,
GGPS3,GPS,IBRA|IBXX|IGCX|SMLL,indice_vigente,,
GMAT3,GRUPO MATEUS,IBRA|IBXX|IGCX|SMLL,indice_vigente,,
GOAU3,GERDAU MET,IGCX,indice_vigente,,
GOAU4,GERDAU MET,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,
GRND3,GRENDENE,IBRA|IGCX|SMLL,indice_vigente,,
HAPV3,HAPVIDA,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,
HBOR3,HELBOR,IBRA|IGCX|SMLL,indice_vigente,,
HBRE3,HBR REALTY,IGCX,indice_vigente,,
HBSA3,HIDROVIAS,IBRA|IGCX|SMLL,indice_vigente,,
HYPE3,HYPERA,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,
IGTI11,IGUATEMI S.A,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,
INTB3,INTELBRAS,IBRA|IBXX|IGCX|SMLL,indice_vigente,,
IRBR3,IRBBRASIL RE,IBRA|IBXX|IGCX|SMLL,indice_vigente,,
ISAE3,ISA ENERGIA,IGCX,indice_vigente,,
ISAE4,ISA ENERGIA,IBOV|IBRA|IBXX|IGCX,indice_vigente,,
ITSA3,ITAUSA,IGCX,indice_vigente,,
ITSA4,ITAUSA,IBOV|IBRA|IBXX|IGCX,indice_vigente,,
ITUB3,ITAUUNIBANCO,IBRA|IBXX|IGCX,indice_vigente,,
ITUB4,ITAUUNIBANCO,IBOV|IBRA|IBXX|IGCX,indice_vigente,,
JALL3,JALLESMACHAD,IGCX,indice_vigente,,
JHSF3,JHSF PART,IBRA|IBXX|IGCX|SMLL,indice_vigente,,
JSLG3,JSL,IBRA|IGCX|SMLL,indice_vigente,,
KEPL3,KEPLER WEBER,IBRA|IGCX|SMLL,indice_vigente,,
KLBN11,KLABIN S/A,IBOV|IBRA|IBXX|IGCX,indice_vigente,,
LAND3,TERRASANTAPA,IGCX,indice_vigente,,
LAVV3,LAVVI,IBRA|IGCX|SMLL,indice_vigente,,
LEVE3,METAL LEVE,IBRA|IGCX|SMLL,indice_vigente,,
LJQQ3,QUERO-QUERO,IBRA|IGCX|SMLL,indice_vigente,,
LOGG3,LOG COM PROP,IBRA|IGCX|SMLL,indice_vigente,,
LOGN3,LOG-IN,IGCX,indice_vigente,,
LPSB3,LOPES BRASIL,IGCX,indice_vigente,,
LREN3,LOJAS RENNER,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,
LWSA3,LWSA,IBRA|IGCX|SMLL,indice_vigente,,
MATD3,MATER DEI,IGCX,indice_vigente,,
MBRF3,MARFRIG,IBOV|IBRA|IBXX|IGCX,indice_vigente,,
MDIA3,M.DIASBRANCO,IBRA|IGCX|SMLL,indice_vigente,,
MDNE3,MOURA DUBEUX,IBRA|IBXX|IGCX|SMLL,indice_vigente,,
MEAL3,IMC S/A,IGCX,indice_vigente,,
MELK3,MELNICK,IGCX,indice_vigente,,
MGLU3,MAGAZ LUIZA,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,
MILS3,MILLS,IBRA|IGCX|SMLL,indice_vigente,,
MLAS3,MULTILASER,IGCX,indice_vigente,,
MOTV3,MOTIVA SA,IBOV|IBRA|IBXX|IGCX,indice_vigente,,
MOVI3,MOVIDA,IBRA|IBXX|IGCX|SMLL,indice_vigente,,
MRVE3,MRV,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,
MTRE3,MITRE REALTY,IGCX,indice_vigente,,
MULT3,MULTIPLAN,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,
MYPK3,IOCHP-MAXION,IBRA|IGCX|SMLL,indice_vigente,,
NATU3,NATURA,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,
OFSA3,OUROFINO S/A,IGCX,indice_vigente,,
OPCT3,OCEANPACT,IGCX,indice_vigente,,
ORVR3,ORIZON,IBRA|IBXX|IGCX|SMLL,indice_vigente,,
PDGR3,PDG REALT,IGCX,indice_vigente,,
PDTC3,PADTEC,IGCX,indice_vigente,,
PETR3,PETROBRAS,IBOV|IBRA|IBXX|IGCX,indice_vigente,,
PETR4,PETROBRAS,IBOV|IBRA|IBXX|IGCX,indice_vigente,,
PFRM3,PROFARMA,IGCX,indice_vigente,,
PGMN3,PAGUE MENOS,IBRA|IGCX|SMLL,indice_vigente,,
PINE3,PINE,IGCX,indice_vigente,,
PINE4,PINE,IBRA|IGCX,indice_vigente,,
PLPL3,PLANOEPLANO,IBRA|IGCX|SMLL,indice_vigente,,
PNVL3,DIMED,IBRA|IGCX|SMLL,indice_vigente,,
POMO3,MARCOPOLO,IBRA|IGCX|SMLL,indice_vigente,,
POMO4,MARCOPOLO,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,
POSI3,POSITIVO TEC,IBRA|IGCX|SMLL,indice_vigente,,
PRIO3,PRIO,IBOV|IBRA|IBXX|IGCX,indice_vigente,,
PRNR3,PRINER,IBRA|IGCX|SMLL,indice_vigente,,
PSSA3,PORTO SEGURO,IBOV|IBRA|IBXX|IGCX,indice_vigente,,
PTBL3,PORTOBELLO,IGCX,indice_vigente,,
QUAL3,QUALICORP,IBRA|IGCX|SMLL,indice_vigente,,
RADL3,RAIADROGASIL,IBOV|IBRA|IBXX|IGCX,indice_vigente,,
RAIL3,RUMO S.A.,IBOV|IBRA|IBXX|IGCX,indice_vigente,,
RANI3,IRANI,IBRA|IGCX|SMLL,indice_vigente,,
RAPT3,RANDON PART,IGCX,indice_vigente,,
