codigo,empresa,indices,origem,motivo_saida,sucessor,n_obs,inicio,fim,disponivel
ALSC3,Aliansce Shopping,,candidato_historico,fusão com Sonae (2019),ALOS3,0,,,False
ALSO3,Aliansce Sonae,,candidato_historico,fusão com BR Malls (2022),ALOS3,0,,,False
ARZZ3,Arezzo,,candidato_historico,"fusão com Soma, virou Azzas (2024)",AZZA3,0,,,False
BIDI11,Banco Inter units,,candidato_historico,migração para Nasdaq via BDR (2022),INBR32,0,,,False
BIDI4,Banco Inter PN,,candidato_historico,migração para Nasdaq via BDR (2022),INBR32,0,,,False
BISA3,Brookfield Incorporações,,candidato_historico,fechamento de capital (2015),,0,,,False
BKBR3,Burger King Brasil,,candidato_historico,virou Zamp,ZAMP3,0,,,False
BRDT3,Petrobras Distribuidora,,candidato_historico,virou Vibra Energia (2021),VBBR3,0,,,False
BRML3,BR Malls,,candidato_historico,fusão com Aliansce Sonae (2022),ALOS3,0,,,False
BTOW3,B2W Digital,,candidato_historico,fusão com Lojas Americanas (2021),AMER3,0,,,False
BVMF3,BM&FBovespa,,candidato_historico,virou B3 (2017),B3SA3,0,,,False
CARD3,CSU CardSystem,,candidato_historico,virou CSU Digital,CSUD3,0,,,False
CCRO3,CCR,,candidato_historico,virou Motiva (2025),MOTV3,0,,,False
CESP3,CESP ON,,candidato_historico,virou Auren Energia (2022),AURE3,0,,,False
CESP6,CESP,,candidato_historico,virou Auren Energia (2022),AURE3,0,,,False
CIEL3,Cielo,,candidato_historico,fechamento de capital (2024),,0,,,False
CMET4,Caemi Metalurgia,,candidato_historico,incorporada pela Vale,VALE3,0,,,False
CPLE5,Copel PNA,,candidato_historico,classe descontinuada,,0,,,False
CRDE3,CR2 Empreendimentos,,candidato_historico,baixa liquidez,,0,,,False
CRUZ3,Souza Cruz,,candidato_historico,"fechamento de capital (OPA British American Tobacco, 2015)",,0,,,False
CTIP3,Cetip,,candidato_historico,incorporada pela BM&FBovespa (2017),,0,,,False
DTEX3,Duratex,,candidato_historico,virou Dexco (2021),DXCO3,0,,,False
ELET6,Eletrobras PNB,,candidato_historico,classe menos líquida,,0,,,False
ELPL3,Eletropaulo ON,,candidato_historico,aquisição pela Enel e deslistagem (2018),,0,,,False
ENAT3,Enauta,,candidato_historico,fusão com 3R e virou Brava (2024),BRAV3,0,,,False
ENBR3,EDP Brasil,,candidato_historico,"fechamento de capital (OPA EDP, 2023)",,0,,,False
ESTC3,Estácio,,candidato_historico,virou Yduqs (2020),YDUQ3,0,,,False
GETI3,AES Tietê ON,,candidato_historico,reorganização (2018),AESB3,0,,,False
GETI4,AES Tietê PN,,candidato_historico,reorganização (2018),AESB3,0,,,False
GNDI3,Notre Dame Intermédica,,candidato_historico,incorporada pela Hapvida (2022),HAPV3,0,,,False
GPCP3,GPC Participações,,candidato_historico,baixa liquidez,,0,,,False
HGTX3,Cia Hering,,candidato_historico,incorporada pelo Grupo Soma (2021),AZZA3,0,,,False
HRTP3,HRT Participações,,candidato_historico,virou PetroRio/PRIO,PRIO3,0,,,False
IDNT3,Ideiasnet,,candidato_historico,baixa liquidez,,0,,,False
IGTA3,Iguatemi,,candidato_historico,reorganização societária (2021),IGTI11,0,,,False
KROT3,Kroton,,candidato_historico,virou Cogna (2019),COGN3,0,,,False
LAME3,Lojas Americanas ON,,candidato_historico,reorganização Americanas (2021),AMER3,0,,,False
LAME4,Lojas Americanas PN,,candidato_historico,reorganização Americanas (2021),AMER3,0,,,False
LCAM3,Unidas (Loc. Américas),,candidato_historico,incorporada pela Localiza (2022),RENT3,0,,,False
LINX3,Linx,,candidato_historico,aquisição pela StoneCo (2021),,0,,,False
LLXL3,LLX Logística,,candidato_historico,virou Prumo,PRML3,0,,,False
MAGG3,Magnesita,,candidato_historico,fusão com RHI (2017),,0,,,False
MMXM3,MMX Mineração,,candidato_historico,recuperação judicial,,0,,,False
MOSI3,Mosaico,,candidato_historico,adquirida pelo Méliuz (2021),,0,,,False
MPLU3,Multiplus,,candidato_historico,incorporada pela LATAM (2019),,0,,,False
MPXE3,MPX Energia,,candidato_historico,virou Eneva (2014),ENEV3,0,,,False
NETC4,Net Serviços,,candidato_historico,fechamento de capital (2015),,0,,,False
PCAR4,Pão de Açúcar PN,,candidato_historico,unificação de classes (2020),PCAR3,0,,,False
QGEP3,Queiroz Galvão E&P,,candidato_historico,virou Enauta,ENAT3,0,,,False
RRRP3,3R Petroleum,,candidato_historico,fusão com Enauta e virou Brava (2024),BRAV3,0,,,False
SEDU3,Somos Educação,,candidato_historico,adquirida pela Kroton (2018),,0,,,False
SGPS3,Springs Global,,candidato_historico,baixa liquidez,,0,,,False
SMLE3,Smiles,,candidato_historico,incorporada pela GOL (2021),,0,,,False
SOMA3,Grupo Soma,,candidato_historico,fusão com Arezzo (2024),AZZA3,0,,,False
SQIA3,Sinqia,,candidato_historico,aquisição pela Evertec (2023),,0,,,False
SSBR3,Sonae Sierra Brasil,,candidato_historico,fechamento de capital (2018),,0,,,False
SULA11,SulAmérica,,candidato_historico,incorporada pela Rede D'Or (2022),RDOR3,0,,,False
SUZB5,Suzano PNA,,candidato_historico,unificação de classes (2017),SUZB3,0,,,False
TAMM4,TAM,,candidato_historico,fusão LATAM e deslistagem (2016),,0,,,False
TCNO4,Tecnosolo,,candidato_historico,baixa liquidez,,0,,,False
TIET11,AES Tietê units,,candidato_historico,virou AES Brasil (2020),AESB3,0,,,False
TIMP3,TIM Participações,,candidato_historico,reorganização (2020),TIMS3,0,,,False
TLPP4,Telesp,,candidato_historico,reorganização Telefônica,VIVT3,0,,,False
TMAR5,Telemar,,candidato_historico,reorganização Oi,OIBR4,0,,,False
TNLP4,Telemar Norte Leste,,candidato_historico,reorganização Oi,OIBR4,0,,,False
TRPL3,ISA CTEEP ON,,candidato_historico,virou ISA Energia (2024),ISAE3,0,,,False
TRPL4,ISA CTEEP PN,,candidato_historico,virou ISA Energia (2024),ISAE4,0,,,False
VIIA3,Via,,candidato_historico,virou Grupo Casas Bahia (2023),BHIA3,0,,,False
VIVT4,Telefônica Brasil PN,,candidato_historico,unificação de classes (2021),VIVT3,0,,,False
VVAR3,Via Varejo,,candidato_historico,"virou Via, depois Casas Bahia",BHIA3,0,,,False
