codigo,empresa,indices,origem,motivo_saida,sucessor,n_obs,inicio,fim,disponivel
CPLE3,COPEL,IBOV|IBRA|IBXX|IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
CSAN3,COSAN,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
CSED3,CRUZEIRO EDU,IGCX,indice_vigente,,,1367,2021-02-11,2026-08-05,True
CSMG3,COPASA,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
CSNA3,SID NACIONAL,IBOV|IBRA|IBXX|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
CSUD3,CSU DIGITAL,IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
CTAX3,Contax,,candidato_historico,"reestruturação, virou Liq",LIQO3,3875,2011-01-03,2026-08-05,True
CURY3,CURY S/A,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,,1462,2020-09-21,2026-08-05,True
CVCB3,CVC BRASIL,IBRA|IBXX|IGCX|SMLL,indice_vigente,,,3147,2013-12-09,2026-08-05,True
CXSE3,CAIXA SEGURI,IBOV|IBRA|IBXX|IGCX,indice_vigente,,,1315,2021-04-30,2026-08-05,True
CYRE3,CYRELA REALT,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
DASA3,DASA,IBRA|IGCX|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
DESK3,DESKTOP,IBRA|IGCX|SMLL,indice_vigente,,,1258,2021-07-22,2026-08-05,True
DEXP3,DEXXOS PAR,IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
DEXP4,DEXXOS PAR,IGCX,indice_vigente,,,1458,2020-09-25,2026-08-05,True
DIRR3,DIRECIONAL,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
DMVF3,D1000VFARMA,IGCX,indice_vigente,,,1491,2020-08-10,2026-08-05,True
DOTZ3,DOTZ SA,IGCX,indice_vigente,,,1294,2021-05-31,2026-08-05,True
DXCO3,DEXCO,IBRA|IGCX|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
ECOM3,ECONOMATICA,IGCX,indice_vigente,,,1254,2021-07-28,2026-08-05,True
ECOR3,ECORODOVIAS,IBRA|IBXX|IGCX|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
EGIE3,ENGIE BRASIL,IBOV|IBRA|IBXX|IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
ELPL4,Eletropaulo,,candidato_historico,aquisição pela Enel e deslistagem (2018),,1795,2011-01-03,2018-03-12,True
EMAE4,EMAE,,candidato_historico,baixa liquidez,,3875,2011-01-03,2026-08-05,True
EMBJ3,EMBRAER,IBOV|IBRA|IBXX|IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
ENEV3,ENEVA,IBOV|IBRA|IBXX|IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
ENGI11,ENERGISA,IBOV|IBRA|IBXX|IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
ENJU3,ENJOEI,IGCX,indice_vigente,,,1429,2020-11-09,2026-08-05,True
EQTL3,EQUATORIAL,IBOV|IBRA|IBXX|IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
ESPA3,ESPACOLASER,IGCX,indice_vigente,,,1372,2021-02-04,2026-08-05,True
ETER3,ETERNIT,IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
EUCA3,EUCATEX,IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
EUCA4,EUCATEX,IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
EVEN3,EVEN,IBRA|IGCX|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
EZTC3,EZTEC,IBRA|IBXX|IGCX|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
FESA3,FERBASA,IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
FESA4,FERBASA,IBRA|IGCX|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
FHER3,FER HERINGER,IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
